angiogenesis	cell_replicative_immortality	change_of_cellular_energetics	escaping_immune_response	escaping_programmed_cell_death	genome_instability_and_mutations	invasion_and_metastasis	proliferative_signalling	suppression_of_growth	tumour_promoting_inflammation
NA	NA	NA	NA	IL7R	NA	IKBKB	KMT2C	SMAD2	NA
NA	NA	NA	NA	IRS4	NA	IKZF1	KMT2D	SMAD3	NA
NA	NA	NA	NA	JAK1	NA	IL7R	KRAS	SMAD4	NA
NA	NA	NA	NA	JAK2	NA	IRS4	LCK	SPOP	NA
NA	NA	NA	NA	KDM5C	NA	KDM5C	LEF1	TBL1XR1	NA
NA	NA	NA	NA	KEAP1	NA	KDM6A	MAP2K1	TET1	NA
NA	NA	NA	NA	KIT	NA	KDR	MAP2K2	TET2	NA
NA	NA	NA	NA	KLF4	NA	KIT	MAP3K1	TGFBR2	NA
NA	NA	NA	NA	KMT2A	NA	KLF4	MAP3K13	TP53	NA
NA	NA	NA	NA	KNL1	NA	KMT2A	MED12	VHL	NA
NA	NA	NA	NA	KRAS	NA	KMT2C	MEN1	ZFHX3	NA
NA	NA	NA	NA	LATS1	NA	KMT2D	MET	NA	NA
NA	NA	NA	NA	LATS2	NA	KRAS	MTOR	NA	NA
NA	NA	NA	NA	LCK	NA	LATS2	MYC	NA	NA
NA	NA	NA	NA	MACC1	NA	LEF1	MYD88	NA	NA
NA	NA	NA	NA	MAP2K1	NA	LIFR	NDRG1	NA	NA
NA	NA	NA	NA	MAP2K2	NA	LRP1B	NONO	NA	NA
NA	NA	NA	NA	MAP3K1	NA	MACC1	NOTCH1	NA	NA
NA	NA	NA	NA	MAPK1	NA	MAP2K1	NOTCH2	NA	NA
NA	NA	NA	NA	MEN1	NA	MAP2K2	NPM1	NA	NA
NA	NA	NA	NA	MET	NA	MAP3K1	NRAS	NA	NA
NA	NA	NA	NA	MTOR	NA	MAPK1	NT5C2	NA	NA
NA	NA	NA	NA	MYC	NA	MED12	PAX3	NA	NA
NA	NA	NA	NA	MYD88	NA	MET	PAX5	NA	NA
NA	NA	NA	NA	NCOR2	NA	MTOR	PAX7	NA	NA
NA	NA	NA	NA	NF1	NA	MYC	PAX8	NA	NA
NA	NA	NA	NA	NFE2L2	NA	MYD88	PDGFRA	NA	NA
NA	NA	NA	NA	NOTCH1	NA	NDRG1	PIK3CA	NA	NA
NA	NA	NA	NA	NOTCH2	NA	NF1	PIM1	NA	NA
NA	NA	NA	NA	NPM1	NA	NF2	PLCG1	NA	NA
NA	NA	NA	NA	NRAS	NA	NONO	POU2AF1	NA	NA
NA	NA	NA	NA	NT5C2	NA	NOTCH2	POU5F1	NA	NA
NA	NA	NA	NA	PAX3	NA	NPM1	PPARG	NA	NA
NA	NA	NA	NA	PAX5	NA	NRAS	PPM1D	NA	NA
NA	NA	NA	NA	PAX8	NA	PAX3	PRKACA	NA	NA
NA	NA	NA	NA	PBRM1	NA	PAX5	PRKAR1A	NA	NA
NA	NA	NA	NA	PBX1	NA	PAX7	PTK6	NA	NA
NA	NA	NA	NA	PDGFRA	NA	PAX8	PTPN11	NA	NA
NA	NA	NA	NA	PER1	NA	PBRM1	RAC1	NA	NA
NA	NA	NA	NA	PIK3CA	NA	PDGFRA	RAF1	NA	NA
NA	NA	NA	NA	PIK3CB	NA	PHOX2B	RAP1GDS1	NA	NA
NA	NA	NA	NA	PIM1	NA	PIK3CA	RET	NA	NA
NA	NA	NA	NA	PLCG1	NA	PIK3R1	ROS1	NA	NA
NA	NA	NA	NA	PMS2	NA	PIM1	SETDB1	NA	NA
NA	NA	NA	NA	PPM1D	NA	PLCG1	SIX1	NA	NA
NA	NA	NA	NA	PRDM16	NA	PMS2	SLC34A2	NA	NA
NA	NA	NA	NA	PRKACA	NA	POU5F1	SMAD3	NA	NA
NA	NA	NA	NA	PRKAR1A	NA	PREX2	SUZ12	NA	NA
NA	NA	NA	NA	PSIP1	NA	PRKAR1A	TBL1XR1	NA	NA
NA	NA	NA	NA	PTEN	NA	PSIP1	TCF7L2	NA	NA
NA	NA	NA	NA	PTK6	NA	PTEN	TCL1A	NA	NA
NA	NA	NA	NA	PTPN11	NA	PTK6	TERT	NA	NA
NA	NA	NA	NA	PTPN13	NA	PTPN11	TET2	NA	NA
NA	NA	NA	NA	QKI	NA	PTPN13	TP63	NA	NA
NA	NA	NA	NA	RAC1	NA	PTPRB	UBR5	NA	NA
NA	NA	NA	NA	RAD21	NA	RABEP1	XPO1	NA	NA
NA	NA	NA	NA	RAF1	NA	RAC1	NA	NA	NA
NA	NA	NA	NA	RB1	NA	RAD21	NA	NA	NA
NA	NA	NA	NA	RBM10	NA	RAF1	NA	NA	NA
NA	NA	NA	NA	RECQL4	NA	RAP1GDS1	NA	NA	NA
NA	NA	NA	NA	RET	NA	RB1	NA	NA	NA
NA	NA	NA	NA	RHOA	NA	RECQL4	NA	NA	NA
NA	NA	NA	NA	RHOH	NA	RET	NA	NA	NA
NA	NA	NA	NA	RNF43	NA	RHOA	NA	NA	NA
NA	NA	NA	NA	SETDB1	NA	RHOH	NA	NA	NA
NA	NA	NA	NA	SF3B1	NA	SETDB1	NA	NA	NA
NA	NA	NA	NA	SFPQ	NA	SIX1	NA	NA	NA
NA	NA	NA	NA	SIX1	NA	SLC34A2	NA	NA	NA
NA	NA	NA	NA	SMAD2	NA	SMAD2	NA	NA	NA
NA	NA	NA	NA	SMAD3	NA	SMAD3	NA	NA	NA
NA	NA	NA	NA	SPOP	NA	SMAD4	NA	NA	NA
NA	NA	NA	NA	TCF7L2	NA	SPOP	NA	NA	NA
NA	NA	NA	NA	TCL1A	NA	SUZ12	NA	NA	NA
NA	NA	NA	NA	TERT	NA	TBL1XR1	NA	NA	NA
NA	NA	NA	NA	TET1	NA	TCF7L2	NA	NA	NA
NA	NA	NA	NA	TP53	NA	TERT	NA	NA	NA
NA	NA	NA	NA	TP63	NA	TET1	NA	NA	NA
NA	NA	NA	NA	TRAF7	NA	TET2	NA	NA	NA
NA	NA	NA	NA	UBR5	NA	TGFBR2	NA	NA	NA
NA	NA	NA	NA	VHL	NA	TP53	NA	NA	NA
NA	NA	NA	NA	XPO1	NA	TP63	NA	NA	NA
NA	NA	NA	NA	NA	NA	UBR5	NA	NA	NA
NA	NA	NA	NA	NA	NA	VHL	NA	NA	NA
NA	NA	NA	NA	NA	NA	WAS	NA	NA	NA
