"","Sample","BaseName","Score"
"155","TCGA.06.0678.11A","XBP1_DOWN",19.8723700507168
"156","TCGA.06.0678.11A","XBP1_UP",33.3698516741134
"157","TCGA.06.0680.11A","RIDD_DOWN",17.2882972654508
"158","TCGA.06.0680.11A","RIDD_UP",15.9544245844874
"159","TCGA.06.0680.11A","XBP1_DOWN",18.1639110774805
"160","TCGA.06.0680.11A","XBP1_UP",33.3295660116251
"161","TCGA.06.0681.11A","RIDD_DOWN",16.665783396767
"162","TCGA.06.0681.11A","RIDD_UP",17.6132494216539
"163","TCGA.06.0681.11A","XBP1_DOWN",19.322405540698
"164","TCGA.06.0681.11A","XBP1_UP",33.9910195801023
"165","TCGA.06.0686.01A","RIDD_DOWN",16.3939717644995
"166","TCGA.06.0686.01A","RIDD_UP",18.9124386941228
"167","TCGA.06.0686.01A","XBP1_DOWN",21.2250606020083
"168","TCGA.06.0686.01A","XBP1_UP",39.475717257804
"169","TCGA.06.0743.01A","RIDD_DOWN",23.6242431198655
"170","TCGA.06.0743.01A","RIDD_UP",15.1807770396997
"171","TCGA.06.0743.01A","XBP1_DOWN",28.2074497522859
"172","TCGA.06.0743.01A","XBP1_UP",30.6734091682001
"173","TCGA.06.0744.01A","RIDD_DOWN",18.3447588053051
"174","TCGA.06.0744.01A","RIDD_UP",17.4735050387964
"175","TCGA.06.0744.01A","XBP1_DOWN",20.793794773021
"176","TCGA.06.0744.01A","XBP1_UP",31.0150855482827
"177","TCGA.06.0745.01A","RIDD_DOWN",20.1970622662015
"178","TCGA.06.0745.01A","RIDD_UP",17.8775603138981
"179","TCGA.06.0745.01A","XBP1_DOWN",27.3128775989633
"180","TCGA.06.0745.01A","XBP1_UP",37.2057246786225
"181","TCGA.06.0747.01A","RIDD_DOWN",20.0709878109009
"182","TCGA.06.0747.01A","RIDD_UP",13.3499482817572
"183","TCGA.06.0747.01A","XBP1_DOWN",22.2421003093694
"184","TCGA.06.0747.01A","XBP1_UP",30.1806235389582
"185","TCGA.06.0749.01A","RIDD_DOWN",17.5388379427213
"186","TCGA.06.0749.01A","RIDD_UP",17.6797675416954
"187","TCGA.06.0749.01A","XBP1_DOWN",23.0012169807385
"188","TCGA.06.0749.01A","XBP1_UP",40.2638121030321
"189","TCGA.06.0750.01A","RIDD_DOWN",20.2695824213931
"190","TCGA.06.0750.01A","RIDD_UP",17.6323284414197
"191","TCGA.06.0750.01A","XBP1_DOWN",25.6611674001109
"192","TCGA.06.0750.01A","XBP1_UP",34.7911809086931
"193","TCGA.06.0878.01A","RIDD_DOWN",20.0255022797565
"194","TCGA.06.0878.01A","RIDD_UP",15.1299345489688
"195","TCGA.06.0878.01A","XBP1_DOWN",23.4898396738548
"196","TCGA.06.0878.01A","XBP1_UP",28.1748744039133
"197","TCGA.06.0882.01A","RIDD_DOWN",20.5944558160897
"198","TCGA.06.0882.01A","RIDD_UP",19.7052310295708
"199","TCGA.06.0882.01A","XBP1_DOWN",26.0660010821076
"200","TCGA.06.0882.01A","XBP1_UP",34.6201939287284
"201","TCGA.06.1804.01A","RIDD_DOWN",20.9879091276757
"202","TCGA.06.1804.01A","RIDD_UP",15.0185440707225
"203","TCGA.06.1804.01A","XBP1_DOWN",22.5329566338416
"204","TCGA.06.1804.01A","XBP1_UP",36.4739606964695
"205","TCGA.06.2557.01A","RIDD_DOWN",19.3291285032669
"206","TCGA.06.2557.01A","RIDD_UP",19.1636484355726
"207","TCGA.06.2557.01A","XBP1_DOWN",24.7280606544073
"208","TCGA.06.2557.01A","XBP1_UP",40.0671662284502
"209","TCGA.06.2558.01A","RIDD_DOWN",19.7175338684848
"210","TCGA.06.2558.01A","RIDD_UP",20.2571978934042
"211","TCGA.06.2558.01A","XBP1_DOWN",24.8170720725214
"212","TCGA.06.2558.01A","XBP1_UP",41.8412299540958
"213","TCGA.06.2559.01A","RIDD_DOWN",21.1082086052855
"214","TCGA.06.2559.01A","RIDD_UP",17.2988220011177
"215","TCGA.06.2559.01A","XBP1_DOWN",22.8245207127474
"216","TCGA.06.2559.01A","XBP1_UP",39.3382597626633
"217","TCGA.06.2561.01A","RIDD_DOWN",20.1111429566318
"218","TCGA.06.2561.01A","RIDD_UP",17.2054504018722
"219","TCGA.06.2561.01A","XBP1_DOWN",24.5042194012678
"220","TCGA.06.2561.01A","XBP1_UP",35.7977950046379
"221","TCGA.06.2562.01A","RIDD_DOWN",21.3534460690203
"222","TCGA.06.2562.01A","RIDD_UP",18.0875577046338
"223","TCGA.06.2562.01A","XBP1_DOWN",26.8826490513078
"224","TCGA.06.2562.01A","XBP1_UP",31.9827171014295
"225","TCGA.06.2563.01A","RIDD_DOWN",17.5291723157799
"226","TCGA.06.2563.01A","RIDD_UP",18.2106146781562
"227","TCGA.06.2563.01A","XBP1_DOWN",20.1517281214781
"228","TCGA.06.2563.01A","XBP1_UP",29.604621845194
"229","TCGA.06.2564.01A","RIDD_DOWN",20.662520529363
"230","TCGA.06.2564.01A","RIDD_UP",18.9894756465822
"231","TCGA.06.2564.01A","XBP1_DOWN",22.6592241630417
"232","TCGA.06.2564.01A","XBP1_UP",39.439103843034
"233","TCGA.06.2565.01A","RIDD_DOWN",20.5833773534966
"234","TCGA.06.2565.01A","RIDD_UP",15.5803354604885
"235","TCGA.06.2565.01A","XBP1_DOWN",22.889514776513
"236","TCGA.06.2565.01A","XBP1_UP",27.5652326678433
"237","TCGA.06.2567.01A","RIDD_DOWN",23.6141753775056
"238","TCGA.06.2567.01A","RIDD_UP",17.2252984743312
"239","TCGA.06.2567.01A","XBP1_DOWN",28.1350509125434
"240","TCGA.06.2567.01A","XBP1_UP",37.3188216783788
"241","TCGA.06.2569.01A","RIDD_DOWN",19.6554188889292
"242","TCGA.06.2569.01A","RIDD_UP",13.9551071983322
"243","TCGA.06.2569.01A","XBP1_DOWN",17.7837818150647
"244","TCGA.06.2569.01A","XBP1_UP",32.4813932975774
"245","TCGA.06.2570.01A","RIDD_DOWN",20.8236521659759
"246","TCGA.06.2570.01A","RIDD_UP",19.1716478291458
"247","TCGA.06.2570.01A","XBP1_DOWN",26.1167374478219
"248","TCGA.06.2570.01A","XBP1_UP",37.8503444334861
"249","TCGA.06.5408.01A","RIDD_DOWN",20.9848906703216
"250","TCGA.06.5408.01A","RIDD_UP",13.7440193943648
"251","TCGA.06.5408.01A","XBP1_DOWN",23.9074000016794
"252","TCGA.06.5408.01A","XBP1_UP",34.2479311745073
"253","TCGA.06.5410.01A","RIDD_DOWN",22.0854315575164
"254","TCGA.06.5410.01A","RIDD_UP",21.4276653783224
"255","TCGA.06.5410.01A","XBP1_DOWN",33.2169545395688
"256","TCGA.06.5410.01A","XBP1_UP",37.8773531153713
"257","TCGA.06.5411.01A","RIDD_DOWN",20.3904408618301
"258","TCGA.06.5411.01A","RIDD_UP",21.1755643363922
"259","TCGA.06.5411.01A","XBP1_DOWN",26.9222971105597
"260","TCGA.06.5411.01A","XBP1_UP",44.81184525637
"261","TCGA.06.5412.01A","RIDD_DOWN",20.9173655513266
"262","TCGA.06.5412.01A","RIDD_UP",17.5124657848116
"263","TCGA.06.5412.01A","XBP1_DOWN",29.2572065848519
"264","TCGA.06.5412.01A","XBP1_UP",34.7854345244617
"265","TCGA.06.5413.01A","RIDD_DOWN",19.3766801240899
"266","TCGA.06.5413.01A","RIDD_UP",17.3384978861261
"267","TCGA.06.5413.01A","XBP1_DOWN",25.3346681987781
"268","TCGA.06.5413.01A","XBP1_UP",36.7132703065156
"269","TCGA.06.5414.01A","RIDD_DOWN",20.7100122274172
"270","TCGA.06.5414.01A","RIDD_UP",18.018519539395
"271","TCGA.06.5414.01A","XBP1_DOWN",28.1839519937402
"272","TCGA.06.5414.01A","XBP1_UP",32.442039137266
"273","TCGA.06.5416.01A","RIDD_DOWN",18.547493040915
"274","TCGA.06.5416.01A","RIDD_UP",14.6065818757254
"275","TCGA.06.5416.01A","XBP1_DOWN",20.9362001510875
"276","TCGA.06.5416.01A","XBP1_UP",35.2614288286661
"277","TCGA.06.5417.01A","RIDD_DOWN",14.3043568275425
"278","TCGA.06.5417.01A","RIDD_UP",10.666316215763
"279","TCGA.06.5417.01A","XBP1_DOWN",18.0612316733696
"280","TCGA.06.5417.01A","XBP1_UP",25.0157384394911
"281","TCGA.06.5418.01A","RIDD_DOWN",22.4615811843205
"282","TCGA.06.5418.01A","RIDD_UP",14.305111123188
"283","TCGA.06.5418.01A","XBP1_DOWN",25.4392965966036
"284","TCGA.06.5418.01A","XBP1_UP",33.0990948306139
