Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
E2F7	BMF	RFC2	IL11	RPS27A	DDB2	RBL1	SAP30	TNIP2	TGFBI	GLI1	LEF1	TRA2A	GPSM2
CCBE1	DAB2IP	RFC4	IL12B	CNOT9	REV1	CXCL6	P4HA2	ZC3H12A	THBS2	HGF	ASCL1	TPSB2	GPX2
BMPER	DEDD2	RPA2	IL15	CCNA2	BRIP1	SDC1	STBD1	CCR2	THY1	HIF1A	FGF7	ZBTB10	H19
NRARP	ST20	RRM1	ILK	PLK2	XPA	SDCBP	AKAP12	ACOD1	TNFAIP6	HMGA1	OSR1	HIST1H2BK	H3F3B
TNFAIP6	NA	RRM2	INSM1	TNKS1BP1	TDG	TIMP1	CITED2	JAG1	UBE2V2	HMGA2	IL18	NA	HACD3
VCAN	NA	SLBP	IRF4	RPS3	BRCA2	ENC1	NDRG1	ATP2B1	ADAM12	HPSE	WNT3A	NA	HAPLN1
SPP1	NA	SMC4	JAG2	ATM	TP53	TUBB3	TXNIP	CD80	MFAP5	ID1	WNT7A	NA	HEPN1
CCND2	NA	TACC3	JUN	CHEK1	PARP1	PLK4	ZNF292	CD44	ITGBL1	IDO1	DISC1	NA	HES1
PIK3R1	NA	TIPIN	JUNB	HMGA2	RPS27A	ORC6	JMJD6	CSF3	TP53I3	IGF1R	BMP10	NA	HNRNPH1
STC1	NA	TMPO	KIT	UBC	POLR2D	ANLN	MAFF	CD55	NUAK1	IGF2BP3	SYK	NA	HNRNPL
JAG2	NA	TOP2A	LAMB2	CENPJ	FANCD2	CAMK2N1	FAM162A	EDN1	HNRNPDL	IL6	IL13	NA	HOPX
NA	NA	TTK	LEP	XPC	CETN2	ENOPH1	HILPDA	EREG	TXNDC9	ITGA3	BCL2	NA	ICAM1
NA	NA	TUBB4B	LGALS1	CNOT8	POLR2K	CD44	ERO1A	ACSL1	LRRC17	ITGA5	ID4	NA	IDH1
NA	NA	TYMS	LGALS9	BABAM2	SSRP1	LOXL2	ANGPTL4	FUT4	IFI30	ITGA6	STAT5B	NA	IKZF1
NA	NA	UBR7	LHX1	CDC25C	ATM	TGFBR3	DDIT4	GCH1	POSTN	ITGAV	CD34	NA	IRX3
NA	NA	UHRF1	LIF	CNOT11	XRCC4	WNT16	EGLN1	GPC3	CBX1	ITGB1	CTC1	NA	ITGAM
NA	NA	UNG	LMNA	BTG2	CCNO	WNT2	KLHL24	IL1R1	NID2	ITGB3	TBX1	NA	KDR
NA	NA	USP1	LYN	ZNF385A	XPC	TGFBR1	TMEM45A	ITGB8	RRAS2	JAG1	IRS2	NA	KIT
NA	NA	WDR76	SMAD4	USP1	FANCC	FGF8	KDM3A	LIF	RALY	KDR	TNFRSF4	NA	KLK10
NA	NA	POLA2	MEF2A	ABRAXAS1	ERCC3	EPB41L5	ZNF395	MARCKS	SEPHS2	KRAS	HMGB1	NA	KRT14
NA	NA	GCLM	MEF2C	RNF168	POLR2H	OLFM1	EGLN3	NFKBIA	HEY1	KRT19	ZNF335	NA	LATS2
NA	NA	HMGB3	KITLG	SPIDR	RFC4	HEY2	NA	NINJ1	MXRA5	L1CAM	NRARP	NA	LGR5
NA	NA	DEPDC1B	MMP14	E2F7	HMGB2	LEF1	NA	SERPINB2	OLFML2B	LAMC2	BMPR2	NA	LOH12CR2
NA	NA	PRR11	MYF5	CRADD	WRN	ERG	NA	PLAUR	TMEM158	LASP1	AGER	NA	LRIG1
NA	NA	NUCKS1	MYF6	CDK1	POLL	HEY1	NA	RGS16	WWTR1	LGALS3	MIF	NA	LY6D
NA	NA	NUP37	MYH9	UBB	ALKBH3	TMEM100	NA	SDC4	GREM1	LOX	CCL5	NA	LYZ
NA	NA	UBE2T	MYO7A	TRIAP1	DDB1	EFNA1	NA	SLC1A2	NOX4	LOXL2	NA	NA	MALAT1
NA	NA	ORC6	MYOD1	RAD9A	POLR2G	S100A4	NA	FSCN1	CLEC4A	MACC1	NA	NA	MBOAT1
NA	NA	CENPM	MYOG	KAT5	FEN1	NA	NA	STAT5A	COPZ2	MCAM	NA	NA	MESP1
NA	NA	VRK1	NFATC2	PLK3	UBE2V2	NA	NA	TNFAIP2	ASPN	MDM2	NA	NA	MESP2
NA	NA	CDC25B	NFIB	ATR	MGMT	NA	NA	BTG2	CEMIP	MET	NA	NA	METTL3
NA	NA	FAM83D	NTRK1	SFN	POLH	NA	NA	FOSL1	CRISPLD2	MIF	NA	NA	MLLT10
NA	NA	ASF1B	NTRK2	HIC1	EXO1	NA	NA	SNN	TUBB6	MKI67	NA	NA	MME
NA	NA	GRPEL1	PAFAH1B1	PIDD1	LIG4	NA	NA	PLPP3	LRRC15	MME	NA	NA	MYB
NA	NA	RFC5	PAX2	UBE2N	ATR	NA	NA	TNFSF9	TUBB	MMP1	NA	NA	MYC
NA	NA	SRSF3	PF4	NPM1	POLD4	NA	NA	IER3	NA	MMP11	NA	NA	NANOG
NA	NA	MND1	PITX2	CNOT10	ERCC4	NA	NA	SLC28A2	NA	MMP13	NA	NA	NCAM1
NA	NA	ZWINT	PLS3	CHEK2	POLE	NA	NA	TRIP10	NA	MMP14	NA	NA	NEK5
